labels	text
O O B_LOC O O B_ORG I_ORG O O O O O O B_MISC O O O O O B_MISC O O O O O O O O O O O O O O	Peter Blackburn BRUSSELS 1996-08-22 The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .
B_LOC O O O O B_ORG I_ORG O O O B_PER I_PER O O O O O O O O O O O B_LOC O O O O O O O	Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .
O O O O O O O O O O O O O O O O O O O O O O B_ORG I_ORG O	He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .
O O B_MISC O O O O B_LOC O B_LOC O O O O O O O B_MISC I_MISC I_MISC O B_MISC O O O O O O	Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .
O O O B_PER I_PER I_PER O O O B_PER O O B_ORG O O O O O O O O O O O O O O O	"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . "" ."
O B_LOC O B_LOC O B_PER O O O	Only France and Britain backed Fischler 's proposal .
O O O O O O O O O O O O O O O O O O O O B_MISC O O O O O O B_MISC O O O O O B_LOC O	British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .
O O O O O O O O O O O O O O O O O B_LOC O O O O B_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG O O B_PER I_PER I_PER O O B_ORG I_ORG O	""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio ."
B_LOC O O O O O O O O O O O O O O O B_MISC O O O O O O O O O O O O O O O O O	Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .
B_LOC O O O O B_LOC O O O O O O O O O	Germany imported 47,600 sheep from Britain last year , nearly half of total imports .
B_LOC O O O O O O O O O O B_LOC O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O O	LONDON 1996-08-22 A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .
O B_LOC O O O O O O O O O O O O O B_MISC I_MISC I_MISC I_MISC O O O B_PER O O O O O B_LOC O O O O O O	"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 ."
O O O O O O O O O O B_MISC O O B_LOC O O O O O O O O O O O O O O O O O O	At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .
O O O O O O O O O O O O O O B_PER O O O B_PER I_PER O O O O O O O O O O	Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .
B_LOC O B_LOC O O O O O	China says Taiwan spoils atmosphere for talks .
B_LOC O B_LOC O O O B_LOC O O O O O O O O O O O B_LOC I_LOC O O O O B_LOC O B_MISC O O B_PER I_PER O O O O B_LOC O	BEIJING 1996-08-22 China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .
O O O O B_MISC O O O O O O O O O O O O O B_LOC O B_ORG I_ORG O B_PER I_PER O B_ORG O O O O O O O O O O O O O O O O B_LOC O O O O O O B_LOC O O O O B_LOC O B_PER I_PER O O O O O O O B_LOC O O O O O O O O O O O O O O	"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . "" State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks ."
O O O O B_ORG O B_ORG I_ORG O O O O O O O O B_PER O O O O O O O O O O O O O O O O O O B_LOC O O B_LOC O O O O O	The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .
B_LOC O O O O O O B_LOC O O O O O O O O O O O O O B_LOC O O O B_MISC O O B_PER O	China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .
B_LOC O O O O B_LOC O O	China says time right for Taiwan talks .
B_LOC O B_LOC O O O O O O O O O B_LOC O O O O O O O O O O O O O	BEIJING 1996-08-22 China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .
B_LOC O B_MISC O O O O O O O O O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG O O O O	FRANKFURT 1996-08-22 German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .
O O O O O O O O O O B_MISC O B_MISC O O O O O O O O O O O O O O O O O	The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .
O O O O B_ORG I_ORG O O O O O O O O O O O O O O O	Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .
O B_ORG O B_ORG O O O O O O O O O O O O O	Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .
B_ORG O O O O O O O O O O O O O	Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .
B_ORG O O O O O O O O	Porsche 's registrations fell to 554 from 643 .
B_LOC O O B_MISC O O O O O O O O O O O O B_PER I_PER O O O O O O O O B_PER I_PER O O O	ATHENS 1996-08-22 The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .
O O B_PER I_PER O O O O O O O O O O O O O O O O B_PER O	Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .
B_LOC O O O O O O O O O B_PER I_PER O	LONDON 1996-08-22 The following bond was announced by lead manager Toronto Dominion .
B_LOC O O O O O O O O O O B_ORG I_ORG I_ORG O	LONDON 1996-08-22 The following floating-rate issue was announced by lead manager Lehman Brothers International .
