labels	text
O O O O O O O O O O O O O O B_facility I_facility I_facility O B_facility_NOKG O O O O O O O O	@paulwalk It 's the view from where I 'm living for two weeks . Empire State Building = ESB . Pretty bad storm here last evening .
B_company_NOKG O O O O O O O O O O O	Pxleyes Top 50 Photography Contest Pictures of August 2010 ... //bit.ly/bgCyZ0 #photography
O O O O O O O O O	today is my last day at the office .
B_person_NOKG O O O O O O O O O O O	4Dbling 's place til monday , party party party . &lt; 3
O O B_tvshow_NOKG O O O O O O O O O O O O O O O O O	watching the VMA pre-show again lol it was n't even a good show the first time ... so bored !
O O O O O O O O O O O	27 followers ! 30 followers is my goal for today !
O O O O O O O O O O O O O O O O O O O O O O O O O	This is the 2nd hospital ive been in today , but ive just seen a doctor who was an older version of justin ' )
O O O O	Friday Night Eats //twitpic.com/2pdvtr
O O O O B_other I_other I_other O O O O O	Gotta dress up for london fashion week and party in style !
O O O O O O O O O O O O O O O O O O O O O O O	@Suzie55 whispering cause I may have had 1 too many vodka 's last night and am a lil fragile , hold me ?
O O O O O O O O O O O O	#NFL Week 2 picks blog is up on @The_Score website ... //blogs.thescore.com/nfl/2010/09/17/pizzolaw2/
O O O O O O O O	I like @SouljaBoy songs after a few drinks
O O O O O O O O O O O O O O O O O O O O O O O O O	... asked me a question for once , but no ! You ask me about fucking donuts you donut ... have a nice day P
O O O O O O O O O O O O O	"every year your "" bestfriend "" get yo ass in trouble smdh #doinme"
O O O O O O O O O O	@MrzEndy tru tru I 'm leavin again on Tuesday yo
O O O O O O O O O O O O O O O O O O O O O O O O	The guys are cooking about a dozen pizzas at our house for the tailgate tonight . Nonetheless it smells fresh in this place .
O O O O O	hows everyones day goin ?
O O O O O O O O B_tvshow_NOKG O O O O O O O O O	@Phoebe1_ and i also loved the last years eurovision entry !! hoppaa ! they were cool too !!
B_company_NOKG O O O O O O O O O O O O O O O O O O O O O	MetroPCS has the worst customer service I 've experienced in months ( trying to help someone order a phone ) #metropcs #fail
O O O O O O O O O O O O O O	@xSophieBx He has a habit of tweeting at the same time as you lol
O O O O O O O O O O O	A TRUE friend walks in when everybody else walks out !
O O O O O O O O O O O O O O O O	Yay . @penguin is coming to see me next week ... plotting my cooking now !
O O O O O O O O O O O O O O O O O O	@_mistercory *Smiles up at him* Can we just ... sit together for a while before round two ?
O O O O O O O O O O O O O O O O	the tears may have been and gone , but the feeling still stay the same .
O O O O O O O O O O O O O O O O O O	@abzmedic I 'm missing autumn because of work . ( I must get into the forests tomorrow !
O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Fellas Do n't just lick the PussyY , LOVE IT ! enjoy it . like u just got married &lt; the preacher said u may kiss the bride
O O O O B_sportsteam_NOKG O O O O B_person I_person O	Cant wait for the ravens game tomorrow .... go ray rice !!!!!!!
O O O O O O O O O O O O O O O O O O O O O O O O O	I miss being able to run and dance around all day instead of having to catch my breath every five minutes of my life .
O O B_person_NOKG O O O O O O O O O O O O O O O O	@SnoopDogg hey snoop my wife Cath is 30 today , any chance of a shout out to her ,
O O O O O O O O O O O O O O O B_geo_loc O O O O O O O O O O O O O	Today I got a promotion at work , and tomorrow I 'm going home to Wisconsin for a few days . So content with life right now . )
O O O O O O O O O O O	I have eaten a large quantity of oranges this week ...
O O O O O O O B_person_NOKG O	Bonfire tonite . All are welcome , joe included
