labels	text
O O O O O O O O O O O O O O O O O O O O O	The country 's influential Buddhist monks said such an agreement would help the rebels ' cause for a separate state .
O O O O O O O B-per O O O	Several clerics have threatened to boycott the Pope 's visit .
B-per I-per I-per O O B-tim O O B-gpe O O O O O O B-geo O O O O	Jose Vicente Rangel told reporters Friday that the Venezuelan government has confidential information proving the U.S. officials ' involvement .
O O B-gpe O O O O O O O O O O O O O O O B-tim O O O O O	An influential Iranian cleric has called for the arrest of opposition leaders for their role in demonstrations following June 's controversial presidential election .
O O O O O B-tim I-tim I-tim I-tim I-tim B-geo O B-geo O O O O O O O O O O O O O O O O O O O O O O O O	The largest parades took place Sunday and Monday nights in Rio 's Sambadrome where the city 's top samba groups , dressed in elaborate costumes , competed against each other to put on the best show .
O O O O O O O O O O O	He said the additional forces would be under government command .
O O O O O O B-per I-per I-per O O O O O O O O O O O B-tim O O O	Opposition groups say the government of President Robert Mugabe has launched a new crackdown ahead of key parliamentary elections due later this year .
B-per I-per O O O O O O O O O O O O B-tim O	King Gyanendra will still remain on the throne until parliamentary elections are held in April .
O O B-org O O O O B-org I-org O O B-tim O O O O O O O O O O O O O O O O O B-tim I-tim O	The official Xinhua news agency reports the State Council moved on Friday to tighten controls on fixed asset investments and money supply after concluding they increased excessively in the first quarter .
B-per I-per O O O O O O B-tim I-tim O	Mr. Obama will be sworn into office on January 20 .
O O O O O O O O O O B-per O O O O O O	Poverty increased significantly , the banking system collapsed , and Ecuador defaulted on its external debt .
O O O O O O O O O O O O O O O O O O B-geo O	They say the commander helped prepare suicide bomb materials and maintained links with insurgents across the border in Afghanistan .
B-geo O O O O O O O O O O O O O B-tim O O O B-geo O	OPEC 's most influential member says the oil cartel should raise production quotas at Wednesday 's meeting in Iran .
O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O	"The children are from the northern state of Kaduna , where officials have confirmed discovery of a "" highly pathogenic "" version of the H5N1 strain on a chicken farm ."
B-gpe O O O B-gpe O O O O O O O O O O O O B-geo O O O O O O	Palestinian sources say an Israeli helicopter gunship fired a missile at militants during a clash in northern Gaza , killing three of them .
O O O O O O O O O O	They complain of discrimination by the ethnic Sinhalese majority .
B-geo O O O O O O O B-geo O O O O O O O O O O B-org I-org I-org I-org O O O B-org I-org I-org I-org O	India says it would like the dispute over Iran 's nuclear program to be resolved through negotiations at the International Atomic Energy Agency , not the United Nations Security Council .
O O O O O O B-geo O B-geo O O O O O O O O O O O	Internal unrest has been growing in Gaza since Israel ended its 38-year occupation of the territory earlier this year .
O O O O O O O O O O O O O O O O O O O	Others are holding on to their big cars , in hopes that gas prices will eventually go down .
