labels	text
O O O O O O O O O O O O O O B_facility I_facility I_facility O B_facility O O O O O O O O	@paulwalk It 's the view from where I 'm living for two weeks . Empire State Building = ESB . Pretty bad storm here last evening .
O O O O B_other I_other I_other O O O O O	Gotta dress up for london fashion week and party in style !
O O O O B_sportsteam O O O O B_person I_person O	Cant wait for the ravens game tomorrow .... go ray rice !!!!!!!
O O O O O O O O O O O O O O O B_geo_loc O O O O O O O O O O O O O	Today I got a promotion at work , and tomorrow I 'm going home to Wisconsin for a few days . So content with life right now . )
O O B_geo_loc O O O O O B_other I_other O O O O O O O O O O O	What Do S.F. Rabbis Eat Before and After Yom Kippur ? We Asked Five to Enlighten Us ! via @SFoodie //bit.ly/aQrFUz
O O O O O O O B_geo_loc O O O O O O O B_person O B_product O O O O O	just about off work ! going to alderwood again ) yay . hopefully we got cody 's ipod in the mail today .
O O O O O O O O O B_product O B_company O O O O O O O O O O O O O O O O O O O	There 's a lot of people showing off their iPhones on facebook today , so &lt; so is at such a place , it 's really not that interesting ;o )
O O O O O O O O O O O B_geo_loc O	( RT @themaine Who is coming to the show tomorrow in Hawaii ?
O O O O O B_geo_loc O O O O O O O O O O O O O O O O O O O O	@Strigy got mine in bbt aintree today . Played table tennis on it in store ! V impressed . Did you get analogue controller 2 ?
B_company I_company I_company O B_other I_other I_other O O O O O O B_company O	Time Warner Cable Boycotting Epix Movie Channel Because It Did A Deal With Netflix //dlvr.it/5RgcL
B_person I_person O O O O O O O O O O O O O O O O O O	Soulja Boy | TheDeAndreWay . com - The DeAndre Way in stores Nov . 2 , 2010 //t.co/woAiLlZ via @SouljaBoy
B_person I_person O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Lindsay Lohan allegedly failed her drug test . So not fetch . Quick , let 's all put on our shocked faces that 23 days of rehab did n't work !
O O O O O B_person O O O O O B_tvshow O O O O	I have a strong hunch Adam will be a story on TMZ tonight . Gulp .
O O O O O B_musicartist I_musicartist I_musicartist O O O O O O O O O O O O O	Check this video out -- Three Days Grace - Break ( Official Music Video ) [ HQ ] //t.co/GOwCLQJ via @youtube
O O O O O B_person O O O O O O O O O O O O O O O O O O O O O	Wow .. saw pictures of Robert .... spent 2 1/2 years with him . Broke up 4 months ago &amp; I miss when we were perfect ..
O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_other O	@Terrysagirl love to , it 's iffy though , i don't wanna give up privacy for the guys . But after episode one , they should be on imdb ;)
O O B_musicartist O O B_musicartist O O O O B_musicartist I_musicartist O O O O O	Shows Tonight-Local Natives @TheMusicBoxLA , Primus @ClubNokia Marina&amp;Diamonds @ElReyTheatre , Mystery Jets @TheTroubadour ( via @TheScenestar )
O O O O B_product O O O O O O O O O O O O O O O O O O O O	@geek @borkware Somehow my iPad in Airplane mode with WiFi off has no problem connecting to internet . Time for a wipe or downgrade .
O O O O O O O O B_geo_loc O O O B_other I_other I_other I_other O O O O O	Just listened to a 24 y/o kid from japan who won the national flat picking championship flipping amazing r/l august rush
O O O O O O O O O O O O O O O O B_other I_other O O B_facility I_facility O O O	RT @ravenalexis Wanna meet me , @jessejane , @rileysteele , and @kayden_kross ? Come to the Body Heat signing at Hustler Hollywood Sep 23rd 8-10pm
B_movie I_movie I_movie O O O O O	Toy story 3 tonight on the lawn !
O O O O O O O O O O O O O B_geo_loc O	Apparently 40 days , 1 hour , 49 mins and 36 seconds to Doha ....
O O O O B_geo_loc O O O O B_facility I_facility O O O O O O O O O O O O O O O O O O O O O O	If you are in Belfast this weekend go to Botanic Gdns , for Taste N I , free food drink face painting etc . Should be good day out . Sat &amp; Sun
O O O O O O O O B_company O	Whats goin on ( in tally ) tonight twitter !!
O O O B_geo_loc O O O O O O O B_geo_loc O O	Beautiful day in Chicago ! Nice to get away from the Florida heat .
O O I_person O O O O O O O O O O O O O O O O B_facility I_facility O	A Hughie O'Donoghue painting , some great curvy pots and intricately illuminated Persian books .. time well spent in the Fitzwilliam .
B_person O O O O	Katie up 6-0 after 1st
O B_other O O O O O O O O O O O O O	On Thanksgiving after you done eating its #TimeToGetOut unless you wanna help with the dishes
O O O O O O O B_sportsteam O B_sportsteam O O O O O B_tvshow I_tvshow I_tvshow O	What is everyone watching this weekend ? Twins ? Vikings ? anyone going to see Friday Night Lights ?
O O O O O O O B_person I_person I_person O B_facility I_facility I_facility O B_geo_loc O B_geo_loc O	Looking for something to do tonight ? Samuel Savoirfaire Williams at Potbelly Lincoln Park in Chicago , IL //bit.ly/bKMFgi
O O O O B_other I_other I_other O O O O O	Gotta dress up for london fashion week and party in style !
O O O O O O O O O O O O O O O O O O O O O B_person O O O O O O	The day you left us was a day we lost a loved one . But we will never leave you , Michael . All our love forever .
O O O O O O O O O O O O O O O B_person I_person O B_person I_person O O O O O O O O B_company	today in a nutshell ; abusing blind people , seducing teachers , chinese takeaways , gatt holly , phil collins , the skin of a goblins nose , lush
O B_movie I_movie O O O O O O O O O O O B_person I_person O O O O O O	Watching The Room for like the fifth time . It 's a classic . Tommy WIseau is a genius . #theroom #tommywiseau
O O O O O O O O O O O B_person I_person O	@GaryLuvin still hot ... But excited about tomorrow going to see Lady Gaga )
O O O O O O O O O O B_company O O O O O O O O O O O O	Apparently #turningpoint has a hash-tag . And @RoundhouseLDN has a Twitter account . So with the formalities over ... see you tomorrow .
O O O B_person O B_person O O O O	Just casually stalking Cheryl AND Dermot tomorrow .... NO BIGGIE
O O O O O O B_musicartist I_musicartist O O	Is sad that she 's missing Cowboy Mouth tonight (
O O O O O O O O O O B_company O O O O O O O O O	i was surprised when she sent me a request on facebook ... we hadnt taLked in a few years (
O O O O O O O O O B_company O O O O O O O O O B_geo_loc O	does any one kno the right address to the walmart that @Treysongz is suppose to be at tomorrow in maryland ??
O O O O O O O B_person O O O O O O O B_other I_other I_other O O B_other I_other I_other O O O	"'I just got confirmed that me and Jorge will be playing 2 songs from "" The Devils Art "" at Words and Wine September ... //fb.me/AyezVfH3'"
O B_company O O O O O O O O O O O	dear youtube why does it take so long to upload a video gggrrrrr
B_person I_person O O O O O O O O O O O B_person I_person O	Willow Smith is not 9 years old .... she got that Lil Mama/ Benjamin Button disease
