text	labels
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .	O O O O O O B-geo O O O O O B-geo O O O O O B-gpe O O O O O
"Families of soldiers killed in the conflict joined the protesters who carried banners with such slogans as "" Bush Number One Terrorist "" and "" Stop the Bombings . """	O O O O O O O O O O O O O O O O O O B-per O O O O O O O O O O O
They marched from the Houses of Parliament to a rally in Hyde Park .	O O O O O O O O O O O B-geo I-geo O
Police put the number of marchers at 10,000 while organizers claimed it was 1,00,000 .	O O O O O O O O O O O O O O O
The protest comes on the eve of the annual conference of Britain 's ruling Labor Party in the southern English seaside resort of Brighton .	O O O O O O O O O O O B-geo O O B-org I-org O O O B-gpe O O O B-geo O
The party is divided over Britain 's participation in the Iraq conflict and the continued deployment of 8,500 British troops in that country .	O O O O O B-gpe O O O O B-geo O O O O O O O B-gpe O O O O O
The London march came ahead of anti-war protests today in other cities , including Rome , Paris , and Madrid .	O B-geo O O O O O O O O O O O O B-geo O B-geo O O B-geo O
The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran 's resumption of low-level uranium conversion .	O B-org I-org I-org I-org O O O O O O O O B-geo B-tim O O O O O B-gpe O O O O O O O
Iran this week restarted parts of the conversion process at its Isfahan nuclear plant .	B-gpe O O O O O O O O O O B-geo O O O
Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .	B-gpe O O O O O O O O O O O O O O B-tim O O O B-org O O O O O
The step will allow the facility to operate at full capacity .	O O O O O O O O O O O O
The European Union , with U.S. backing , has threatened to refer Iran to the U.N. Security Council , which could impose sanctions if it finds Tehran has violated the Nuclear Non-Proliferation treaty .	O B-org I-org O O B-gpe O O O O O O B-gpe O O B-org I-org I-org O O O O O O O O B-gpe O O O B-art I-art O O
Iran 's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation .	B-gpe O O B-per I-per I-per O B-tim O B-gpe O O O O B-gpe O O O O O O O O O O O B-gpe O O
Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria 's southern oil-rich Delta region .	O B-gpe O O B-gpe O O O O O O O O O O O O O O B-geo O O O B-geo O O
An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .	O O O O B-gpe O B-org I-org O B-per I-per O O O O O O O O B-tim O O O O B-geo I-geo O B-geo I-geo O O O O O O O O B-org I-org O
The German firm works as a sub-contractor for Shell .	O B-gpe O O O O O O B-org O
Militant groups frequently attack oil operations in the Niger Delta to demand social services and better job opportunities from multinational companies .	O O O O O O O O B-geo I-geo O O O O O O O O O O O O
Poor residents often complain they have been cheated out of the huge riches extracted from their tribal lands - where the bulk of Nigeria 's 2.3 million barrels of petroleum are pumped daily .	O O O O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O O O O
Suspected Islamist rebels have fired mortar shells at the palace used by Somalia 's interim President Abdullahi Yusuf Ahmad .	O O O O O O O O O O O O B-geo O O B-per I-per I-per I-per O
It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt .	O O O O O O O O O O O O O B-geo O O O O O O O O O O
