labels	text
O O O O O O B-geo O O O O O B-geo O O O O O B-gpe O O O O O	Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .
O O O O O O O O O O O B-geo O O B-org I-org O O O B-gpe O O O B-geo O	The protest comes on the eve of the annual conference of Britain 's ruling Labor Party in the southern English seaside resort of Brighton .
O O O O O B-gpe O O O O B-geo O O O O O O O B-gpe O O O O O	The party is divided over Britain 's participation in the Iraq conflict and the continued deployment of 8,500 British troops in that country .
O B-geo O O O O O O O O O O O O B-geo O B-geo O O B-geo O	The London march came ahead of anti-war protests today in other cities , including Rome , Paris , and Madrid .
O B-org I-org I-org I-org O O O O O O O O B-geo B-tim O O O O O B-gpe O O O O O O O	The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran 's resumption of low-level uranium conversion .
B-gpe O O O O O O O O O O B-geo O O O	Iran this week restarted parts of the conversion process at its Isfahan nuclear plant .
O B-org I-org O O B-gpe O O O O O O B-gpe O O B-org I-org I-org O O O O O O O O B-gpe O O O B-art I-art O O	The European Union , with U.S. backing , has threatened to refer Iran to the U.N. Security Council , which could impose sanctions if it finds Tehran has violated the Nuclear Non-Proliferation treaty .
B-gpe O O B-per I-per I-per O B-tim O B-gpe O O O O B-gpe O O O O O O O O O O O B-gpe O O	Iran 's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation .
O B-gpe O O B-gpe O O O O O O O O O O O O O O B-geo O O O B-geo O O	Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria 's southern oil-rich Delta region .
O O O O B-gpe O B-org I-org O B-per I-per O O O O O O O O B-tim O O O O B-geo I-geo O B-geo I-geo O O O O O O O O B-org I-org O	An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .
O O O O O O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O O O O	Poor residents often complain they have been cheated out of the huge riches extracted from their tribal lands - where the bulk of Nigeria 's 2.3 million barrels of petroleum are pumped daily .
O O O O O O O O O O O O B-geo O O B-per I-per I-per I-per O	Suspected Islamist rebels have fired mortar shells at the palace used by Somalia 's interim President Abdullahi Yusuf Ahmad .
O O O O O O O O O O O O O B-geo O O O O O O O O O O	It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt .
O O O O O O O O O O O O O O O O O O O O B-geo B-tim O	Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday .
O O O O O O O O O O O O O B-geo O O O O O B-org I-org I-org I-org O O	Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters .
O O O O I-org I-org O O O O O O O O B-geo O O B-geo O O O O O	Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces .
B-geo O O O O O O B-geo O O O O O O O B-org O O O	Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters .
O O O O B-gpe O O O B-gpe O O O O O O O B-geo B-tim O	In other violence , U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday .
O O O O O O O O O O O B-org I-org O O O O O O O O O O B-tim O	Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday .
O O O B-tim O B-geo O	The arrests occurred Friday in Alexandria .
O B-org I-org O O O O O O O O O O O O O O O O O O O	The Muslim Brotherhood has tripled its strength in parliament in recent elections , raising the party 's total to 47 seats .
O B-org I-org O O O O O O O O O O O O O O O O O O O O O O O	The Muslim Brotherhood is banned as a political party , but it endorses so-called independent candidates whose allegiance to the party is known to voters .
O O O B-geo O B-geo I-geo I-geo I-geo O O O O O O O O O O O O O O O O O O O O O O O O O O	"Hardline lawmakers in Pakistan 's North West Frontier Province have pushed through a law that aims to ensure "" Islamic correctness "" in public places and establishes a morality police to enforce decent behavior ."
O O O O O O O O O O O O O O O O B-org O O B-geo O	The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .
B-gpe O O B-tim O B-per I-per O O O B-geo O O O O O O O O	Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole .
O B-org I-org O O O B-org I-org O O O O O O O O O O O O O O O O O O O O O	A Home Office spokesman told the Associated Press that if the behavior of a paroled offender gives cause for concern , he can be sent back to prison .
O O O O O O O O O O O O O O O O O O O O O O B-geo O	Pakistani officials say unidentified gunmen have killed three people , including a former government minister , in a semi-autonomous tribal region bordering Afghanistan .
O O O O O O B-per I-per I-per O O O B-geo I-geo B-tim O O O O O O O B-geo I-geo O O	The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area .
O O O O O O O O O B-gpe O O O O O O O O O O B-geo I-geo O	The ambush came a day after a commander of Pakistani troops said the army has almost completely eliminated militants in South Waziristan .
O O O O O O O B-org O B-org O O O B-org O O O O B-geo O B-tim O	The area became a refuge for many al-Qaida and Taleban fighters after the Taleban government was ousted in Afghanistan in 2001 .
O O B-gpe O O O B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-gpe I-gpe O	"A senior Pakistani military official says Pakistan wants to put what he calls the "" sordid chapter "" of proliferation by one of its top scientists behind it and build civilian nuclear ties with the United States ."
